BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-1.2789404,3.9374123,7.7502837,-0.16329867,-0.70725423,0.0446951
-1.0442286,3.7314405,7.7598634,-0.20111556,-1.3810339,-0.053841863
-0.53169435,3.8559816,7.3000197,-0.20058294,-1.7043417,-0.12095352
-0.11496094,3.9709425,6.844966,-0.12814495,-1.6068699,-0.17954308
-0.1820215,3.8176613,6.1695704,-0.116427034,-1.5477479,-0.14066093
-0.6514453,4.047583,5.637876,-0.26236826,-1.2143201,0.048423525
0.43110353,4.2056546,5.3121533,-0.5041833,-0.7717027,0.17945105
2.8740237,3.9374123,6.0019193,-0.7337478,-0.5011255,0.09742569
-1.1543995,2.299219,8.363408,-1.0522618,-0.6816879,-0.010698653
1.3939015,1.8872755,9.968072,-0.6559835,-2.2593446,-0.29352638
0.25866213,1.1352394,9.091495,-0.73960674,-4.0218244,-0.62056255
-0.32093263,1.0154883,7.606582,-1.0810239,-5.5552726,-0.74945956
0.977168,1.7435743,6.9886675,-1.564654,-6.71428,-0.69672894
1.6238233,1.5711329,7.534732,-2.0141957,-7.8194923,-0.5422656
3.7601807,2.304009,5.824688,-2.3486888,-8.572102,-0.12148616
2.4812403,3.7697608,5.9540186,-2.2405643,-8.432552,0.6220684
5.1636624,1.2693604,-17.871637,-2.1084716,-5.4972157,1.2457808
6.6246243,0.8047266,7.568262,-1.4133865,-1.411394,1.7576404
8.377779,-0.5987549,-5.910908,-1.2834241,-0.15491457,2.2982621
9.829161,-2.5530908,0.42152345,-1.983303,0.3537492,2.308382
10.380015,-3.6116896,2.0405567,-2.7156723,0.33883548,1.9152995
7.6257424,-3.6979103,3.8559816,-3.0192728,2.76391,1.3240777
8.655601,-4.5601172,6.327642,-2.6373754,3.3327613,1.3310019
8.53585,-5.3935843,5.216353,-2.629386,3.4712455,0.9176793
6.792276,-6.1647806,3.779341,-3.1763992,3.656069,0.45056084
7.0126176,-7.573052,6.6198344,-3.867756,3.5095952,0.3227291
7.5970025,-7.8844047,8.358619,-4.3433967,2.1689599,0.36107865
7.33355,-8.224498,9.072334,-4.574026,0.95775414,0.7035612
7.5203614,-8.928633,10.370435,-4.354582,0.38943553,0.8212729
8.047266,-9.244776,10.284214,-4.296525,-0.61990255,0.90702665
10.145303,-9.905801,10.317744,-3.819819,-2.0649338,0.92992985
9.407638,-7.8365045,10.432706,-3.4064963,-2.7648125,0.99278045
9.508228,-6.816226,16.659756,-2.4956954,-6.107612,1.834872
12.387041,-6.7635355,10.260264,-0.3768842,-7.951052,2.3754938
12.425362,-6.246211,3.1614258,0.2628071,-6.317469,1.6559076
12.593013,-8.454419,1.3172607,-0.063696444,-2.448429,0.82233816
11.376344,-10.164463,-0.728086,-0.6325477,-0.78608376,0.24283428
11.534414,-11.6876955,-1.3507911,-1.5657192,-0.9863535,-0.07781031
11.567945,-12.147539,-1.6765138,-1.8453512,-1.1775684,-0.23653473
11.567945,-12.147539,-1.6765138,-1.8453512,-1.1775684,-0.23653473
11.567945,-12.147539,-1.6765138,-1.8453512,-1.1775684,-0.23653473
4.6654983,-5.6761966,5.4031644,-0.585676,0.13004367,-0.09006085
4.6654983,-5.6761966,5.4031644,-0.585676,0.13004367,-0.09006085
4.6654983,-5.6761966,5.4031644,-0.585676,0.13004367,-0.09006085
4.6654983,-5.6761966,5.4031644,-0.585676,0.13004367,-0.09006085
4.6654983,-5.6761966,5.4031644,-0.585676,0.13004367,-0.09006085
4.6654983,-5.6761966,5.4031644,-0.585676,0.13004367,-0.09006085
4.6654983,-5.6761966,5.4031644,-0.585676,0.13004367,-0.09006085
4.6654983,-5.6761966,5.4031644,-0.585676,0.13004367,-0.09006085
12.406201,-7.4006104,-2.0405567,-0.98408496,1.2075588,-1.5010036
9.5561285,-5.360054,5.5420756,-1.3915485,-0.27848527,-2.4091415
16.276554,-7.462881,-6.1456203,-2.3646677,-3.906776,-3.623543
3.6212697,-2.6249416,-7.573052,-2.005141,-3.5797398,-2.3377688
7.0126176,-4.071533,-1.2070899,-0.5425328,-1.2276359,-1.015243
14.494658,-6.1695704,-6.854546,-1.4059296,-2.555488,-1.9713179
-1.6381935,1.575923,0.12454102,-1.1966051,-0.93735135,-1.2703738
0.34967285,-2.1650977,2.8213332,-0.24585667,-1.0103219,-0.51030767
1.3651612,-1.22146,0.9244776,0.2857103,-1.127501,-0.33294114
2.2129982,-1.4897022,1.6142433,0.79703724,-1.0971409,-0.5220256
0.87178713,-1.4178516,3.3290772,2.2756243,-1.1264358,-0.36063802
-0.28261232,-2.3662794,2.5578809,3.5709858,-0.4345465,0.46920297
3.056045,-5.508545,-0.1580713,4.6138797,0.40115345,1.5547074
6.318062,-8.732242,-0.5508545,4.94784,1.7652247,1.8694931
5.757627,-10.255474,-4.636758,4.3566184,2.66271,2.2556515
5.767207,-13.028907,-4.6271777,3.2226443,2.870969,1.716095
5.1924024,-10.437495,-3.1326857,2.3459318,3.388155,1.6266128
6.0354495,-9.536968,-0.1101709,1.7877332,3.3061295,1.9472574
7.812554,-10.96919,0.79993653,1.766428,3.021704,2.2774894
9.2256155,-12.166699,0.82388675,1.9837419,2.2456589,2.5784266
12.808565,-12.564273,-2.7303224,1.3855959,1.3929148,1.8758847
10.772799,-12.578643,-1.4465919,0.19676071,0.3127365,0.9523004
9.958491,-10.839859,0.1101709,-0.43707165,-0.11709769,0.8606877
11.797867,-9.996812,1.6429834,-0.8040553,-0.65984994,0.72646433
13.091177,-7.084468,4.8091993,-0.81204474,-2.045759,0.66201586
12.133169,-5.934859,7.486831,0.35921353,-3.1525688,0.44523454
10.336905,-6.6581545,5.944439,1.5166234,-3.3959818,-0.061298713
9.302257,-8.866363,1.6765138,1.1320629,-3.286792,-0.7563838
9.685459,-9.905801,-3.5254688,-0.20431136,-2.712082,-1.2831571
9.048384,-10.284214,-3.6979103,-1.703671,-2.0297801,-1.6006058
5.369634,-8.310719,1.2789404,-2.2698593,-1.8114008,-1.1830221
9.388477,-8.986114,-3.171006,-1.9385618,-0.50219077,-0.78727645
8.167017,-10.078242,-4.0811133,-2.5138047,0.4038166,-1.1745001
8.291558,-7.8844047,-0.93405765,-3.282393,0.31326914,-1.639488
13.479171,-9.354947,-4.4643164,-3.2515004,0.21846062,-1.8578672
8.928633,-7.893985,-9.948912,-4.449923,-0.7487995,-1.7369597
6.480923,-5.407954,-4.0811133,-4.9489994,0.20887323,-1.7151217
-3.5877395,-0.6658155,12.013418,-1.6296351,2.138067,-0.39206332
9.139395,-3.175796,-0.71371585,-0.05783749,2.9604514,0.9783994
15.548468,-6.05461,-4.488267,-1.2429441,0.89703405,-0.24026315
9.74773,-6.615044,-7.9227247,-2.2363033,0.64030534,-1.4488057
4.387676,-4.88105,-2.5530908,-2.0647957,1.6485782,-0.98594826
10.93087,-4.009263,-2.7207422,-2.0323052,1.7114288,-0.67489105
14.518609,-3.4631984,-6.7491655,-2.7375102,-0.8931429,-1.8434862
6.816226,-2.0213966,-5.958809,-3.000098,-0.4111107,-1.9734484
5.6714063,-1.6717237,-2.4620802,-2.3247204,0.25574484,-2.0655937
-5.2594633,-1.7339942,10.317744,0.3698662,0.7803876,-0.52309084
-3.7649708,-5.709727,-4.3014555,0.7187403,1.3135525,1.230867
3.1135256,-6.696475,-2.0261867,-1.6360267,0.7835834,2.5949383
7.7790236,-5.623506,-2.6009912,-1.7846311,0.46080828,2.4250286
8.066426,-3.7601807,-2.4764502,-0.67036456,0.8480319,1.5083685
3.6164796,-4.5649076,2.2752686,-0.2330735,-0.64014256,1.6244823
2.5387208,-5.2115626,-7.2281694,-0.21176821,-0.8702397,2.5501971
14.2551565,-10.605147,-0.64186525,-1.4607908,-0.031876534,2.4149084
18.973345,-9.68067,-2.4956105,-0.046119582,-0.6806226,-0.3206906
9.80521,-4.751719,-1.1208692,-0.17661448,-0.8771639,-0.1007135
9.992022,-6.217471,-3.6739602,-0.056772225,-0.47289604,0.2646722
8.248447,-5.4750147,-4.536167,0.5706685,-0.12561981,0.1970279
7.2664895,-5.407954,-4.981641,0.87639946,0.5556168,0.6130137
5.010381,-4.239185,-2.44771,1.2966464,1.0030279,1.1174164
5.3121533,-3.4871485,-1.585503,1.4457834,1.5612265,1.742194
4.5409575,-4.670288,-1.8633252,1.2124904,1.8861321,2.3701675
6.5144534,-4.82357,-2.1124072,0.7895804,2.1071744,2.3509927
7.846084,-4.996011,-0.12454102,0.28464502,1.8104984,2.1102428
8.51669,-6.2845316,-1.0154883,0.10088691,0.8980993,2.1150365
7.32876,-6.447393,-2.7973828,-0.14092812,1.5809339,2.3760264
5.2834134,-6.950347,-2.816543,-0.7497268,2.4635053,2.7675111
9.0148535,-7.7359133,-0.6706055,-1.4453443,2.3362062,2.3733633
7.7694435,-5.326524,0.41194338,-1.3393506,1.9308733,1.8615036
3.803291,-6.5719337,-0.33530274,-0.5803497,0.98491836,1.9206258
1.456172,-6.5623536,-0.8143067,-0.12548178,0.3372376,2.1917355
5.158872,-10.111773,-2.1363575,-0.061033282,0.506082,1.8258172
4.119434,-13.460011,-2.3375392,-0.97236705,1.4035673,0.8633508
5.4750147,-12.516373,0.74724615,-0.87063426,1.1234028,0.572001
8.650811,-11.543995,-0.17244141,-0.2447914,0.39955556,0.27053115
8.076006,-14.782062,-1.585503,-0.25917247,0.2248522,-0.61843204
3.0799952,-9.8866415,0.06227051,0.059874233,0.14122894,-0.5268193
3.5254688,-9.958491,0.92926764,0.4375105,-0.21456939,-0.1305409
4.3349857,-8.655601,-0.4167334,0.7469698,-0.41270858,-0.039460793
2.687212,-6.912027,0.119750984,0.8012983,-1.2148527,0.39090604
2.7494826,-5.364844,-0.0047900393,0.7661446,-1.2468106,0.63751477
2.543511,-3.6883302,-0.68018556,0.74750245,-0.7376143,0.7552265
2.5195606,-2.8883936,-0.79035646,0.5706685,-0.5432035,0.922473
1.8729054,-4.033213,-2.3135889,0.42579257,-0.7764964,1.6894634
1.2502003,-4.7325587,-4.152964,0.19942388,0.22591746,2.3792222
-0.12454102,-4.8331494,-3.7314405,-0.017890073,1.253365,3.1057324
-2.1363575,-8.109536,-4.143384,-0.88501537,3.3348918,5.0237412
-0.21555176,-7.30481,-1.9208057,-1.7611953,4.343165,5.408302
6.5336137,-15.390396,1.2502003,-0.31882727,4.5780554,2.7174437
-1.1687696,-8.171807,3.9182522,2.284679,2.490137,-0.34892014
-3.5015187,-12.640914,-1.8106349,2.9472735,3.337555,-0.26796
-1.0633887,-10.475816,-6.3132715,-1.1294935,4.044891,-0.042123955
-2.8644435,-5.9204884,2.5243506,-2.3428297,2.3218253,0.58478415
-6.758745,-12.746294,2.5004005,-1.4725087,1.2272661,1.7065077
-11.390714,-37.333565,-9.944121,-1.0671755,-1.1504042,4.340907
-2.4764502,-18.911076,-1.4082716,0.94617426,0.6008905,-1.1409442
-2.7782228,-4.430786,-1.4178516,0.5030242,0.47039565,-0.59126776
-2.074087,-5.158872,-0.9915381,-0.03120588,-0.26463684,0.0068782107
-1.7866846,-10.217154,-0.62749517,-0.27887988,-0.6049888,0.16293944
-0.9867481,-10.6817875,-0.9915381,0.0012846867,-0.3434664,0.10701307
-0.6466553,-9.69504,-0.89573735,0.0071436414,-0.17142618,0.05374985
-1.0442286,-9.766891,-0.5939649,-0.09512175,-0.25345156,0.0031497853
-1.1831397,-9.72857,-0.852627,-0.0993828,-0.27475685,0.015932959
-0.7232959,-9.977652,-0.78556645,-0.1371997,-0.2380052,0.0020845209
-0.60833496,-9.987232,-0.57001466,-0.15317866,-0.15278405,-0.020818664
-0.732876,-9.78605,-0.14370118,-0.1473197,-0.065965,-0.059168186
-0.7089258,-9.7142,-0.1101709,-0.16915762,-0.037202854,-0.051711332
-0.4167334,-9.8866415,-0.27303225,-0.18034291,-0.032409165,-0.059168186
-0.2921924,-9.972861,-0.67539555,-0.17448395,0.018190894,-0.056505024
-0.09580079,-10.083033,-1.0250684,-0.1851366,0.20088375,-0.057570286
-0.14370118,-10.265054,-1.0442286,-0.18407133,0.33457443,-0.04372185
-0.3879932,-10.241104,-0.8765772,-0.10843755,0.4038166,-0.04105869
-0.5987549,-10.197993,-1.2693604,-0.047717478,0.44909036,-0.045319747
-0.6466553,-9.862691,-2.0405567,-0.010433223,0.4464272,-0.060766082
-1.2789404,-9.64714,-2.323169,-0.009367958,0.3803808,-0.10284403
-1.839375,-9.642349,-2.0980372,-0.01735744,0.4102082,-0.079408206
-1.9255958,-9.599238,-1.8776954,-0.021618498,0.32019335,-0.060233448
-1.7483643,-9.436378,-1.9016455,-0.030673247,0.20514481,-0.024014458
-1.1927198,-9.187295,-1.8441651,-0.028542718,0.0810415,0.01380243
-0.6849756,-9.503438,-1.7627344,0.0028825835,0.12365207,0.04256457
-0.11496094,-9.929751,-1.7962648,-0.01682481,0.11672786,0.023922443
-0.009580079,-9.948912,-1.9351759,-0.1190902,0.020321423,-0.07994084
-0.34488282,-9.69504,-1.8824854,-0.17501658,-0.0041796584,-0.13693249
-0.7951465,-9.81958,-1.9160157,-0.19365871,0.019788792,-0.155042
-1.101709,-9.77647,-1.7004639,-0.18087554,0.03576776,-0.14332408
-1.2022998,-9.642349,-1.3555812,-0.17288606,0.024582481,-0.11083351
-1.0394385,-9.800421,-1.0825489,-0.15104814,-0.0329418,-0.078342944
-0.7759864,-10.030342,-1.2310401,-0.11695967,-0.06010604,-0.057570286
-0.5221143,-9.867481,-1.4082716,-0.07647962,-0.12455454,-0.053841863
-0.37362307,-9.7621,-1.6765138,-0.08340384,-0.14585982,-0.08207137
-0.34009278,-9.7621,-1.7771046,-0.107904926,-0.12988086,-0.09006085
-0.35925296,-9.685459,-2.179468,-0.1356018,-0.11123873,-0.1156272
-0.5221143,-9.6758795,-2.318379,-0.15424393,-0.057975512,-0.09591981
-0.7041358,-9.79084,-2.0166066,-0.14838497,-0.049986027,-0.094321914
-0.7951465,-9.857901,-1.8537452,-0.11695967,-0.10537978,-0.07088609
-0.57001466,-9.934542,-1.8729054,-0.07861015,-0.14639246,-0.050113436
-0.27303225,-9.977652,-1.7818946,-0.01735744,-0.15012088,-0.026144987
0.14849122,-10.140513,-1.7339942,0.044427898,-0.20125358,-0.040526055
0.5460645,-10.159674,-1.6717237,0.1040827,-0.25132102,-0.09112612
0.45984375,-10.169253,-1.6477735,0.13976906,-0.25132102,-0.12681249
0.18681154,-10.020762,-1.7771046,0.1866407,-0.2198957,-0.14066093
-0.0047900393,-9.848321,-1.585503,0.23511024,-0.12402191,-0.11243141
0.014370117,-9.580078,-1.336421,0.28624293,-0.06543236,-0.08207137
0.3784131,-9.642349,-1.331631,0.3059503,0.015527735,-0.046385013
0.5029541,-9.896221,-1.695674,0.30435243,0.13750051,-0.06396187
0.2203418,-9.953702,-1.7483643,0.2825145,0.23923327,-0.12255142
-0.07185059,-10.0063925,-1.3076807,0.23777339,0.31966072,-0.13906303
-0.31135255,-9.901011,-1.1543995,0.21593547,0.2829091,-0.17687991
-0.6466553,-9.848321,-1.2837305,0.2015544,0.17212161,-0.21043575
-1.1304493,-9.833951,-1.2693604,0.18078175,0.05654042,-0.20510942
-0.9436377,-9.431587,-1.4322218,0.20581546,-0.001516497,-0.14918303
-0.17244141,-9.273516,-1.9208057,0.28304714,-0.060638674,-0.06875557
-0.023950197,-9.431587,-2.2465284,0.27132922,-0.0020491292,-0.08793032
-0.45505372,-9.81958,-1.9782863,0.06786371,0.30314913,-0.11988826
-0.19160157,-9.340576,-0.7664063,-0.046652213,0.40275136,-0.117225096
0.38320315,-9.422008,-0.78556645,-0.11323124,0.051746726,-0.118290365
